"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C04477V05260","Field of Study","C03919V04671","Gender","C04300V05079","HSE Health Regions","UNIT","VALUE"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","-","All genders","30","HSE Dublin and South East","Number","153"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","-","All genders","50","HSE Midwest","Number","63"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","-","All genders","60","HSE West and North West","Number","114"
"HGO22C01","Number of Health Graduates","2013","2013","702","Social Care","-","All genders","40","HSE South West","Number","57"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","10","Male","-","All HSE Regions","Number","90"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","10","Male","20","HSE Dublin and Midlands","Number","9"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","10","Male","10","HSE Dublin and North East","Number","21"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","10","Male","30","HSE Dublin and South East","Number","18"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","10","Male","50","HSE Midwest","Number","6"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","10","Male","60","HSE West and North West","Number","21"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","10","Male","40","HSE South West","Number","15"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","20","Female","-","All HSE Regions","Number","777"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","20","Female","20","HSE Dublin and Midlands","Number","153"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","20","Female","10","HSE Dublin and North East","Number","153"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","20","Female","30","HSE Dublin and South East","Number","147"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","20","Female","50","HSE Midwest","Number","63"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","20","Female","60","HSE West and North West","Number","123"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","20","Female","40","HSE South West","Number","135"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","-","All genders","-","All HSE Regions","Number","867"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","-","All genders","20","HSE Dublin and Midlands","Number","162"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","-","All genders","10","HSE Dublin and North East","Number","174"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","-","All genders","30","HSE Dublin and South East","Number","165"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","-","All genders","50","HSE Midwest","Number","69"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","-","All genders","60","HSE West and North West","Number","147"
"HGO22C01","Number of Health Graduates","2014","2014","30","Nursing and Midwifery","-","All genders","40","HSE South West","Number","150"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","10","Male","-","All HSE Regions","Number","129"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","10","Male","20","HSE Dublin and Midlands","Number","33"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","10","Male","10","HSE Dublin and North East","Number","30"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","10","Male","30","HSE Dublin and South East","Number","27"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","10","Male","50","HSE Midwest","Number","6"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","10","Male","60","HSE West and North West","Number","15"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","10","Male","40","HSE South West","Number","18"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","20","Female","-","All HSE Regions","Number","159"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","20","Female","20","HSE Dublin and Midlands","Number","36"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","20","Female","10","HSE Dublin and North East","Number","33"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","20","Female","30","HSE Dublin and South East","Number","36"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","20","Female","50","HSE Midwest","Number","6"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","20","Female","60","HSE West and North West","Number","18"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","20","Female","40","HSE South West","Number","30"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","-","All genders","-","All HSE Regions","Number","288"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","-","All genders","20","HSE Dublin and Midlands","Number","69"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","-","All genders","10","HSE Dublin and North East","Number","63"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","-","All genders","30","HSE Dublin and South East","Number","63"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","-","All genders","50","HSE Midwest","Number","12"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","-","All genders","60","HSE West and North West","Number","33"
"HGO22C01","Number of Health Graduates","2014","2014","202","Medicine","-","All genders","40","HSE South West","Number","48"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","10","Male","-","All HSE Regions","Number","123"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","10","Male","20","HSE Dublin and Midlands","Number","21"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","10","Male","10","HSE Dublin and North East","Number","21"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","10","Male","30","HSE Dublin and South East","Number","33"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","10","Male","50","HSE Midwest","Number","12"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","10","Male","60","HSE West and North West","Number","21"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","10","Male","40","HSE South West","Number","15"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","20","Female","-","All HSE Regions","Number","591"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","20","Female","20","HSE Dublin and Midlands","Number","132"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","20","Female","10","HSE Dublin and North East","Number","93"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","20","Female","30","HSE Dublin and South East","Number","168"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","20","Female","50","HSE Midwest","Number","54"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","20","Female","60","HSE West and North West","Number","69"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","20","Female","40","HSE South West","Number","75"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","-","All genders","-","All HSE Regions","Number","714"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","-","All genders","20","HSE Dublin and Midlands","Number","156"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","-","All genders","10","HSE Dublin and North East","Number","114"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","-","All genders","30","HSE Dublin and South East","Number","201"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","-","All genders","50","HSE Midwest","Number","66"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","-","All genders","60","HSE West and North West","Number","90"
"HGO22C01","Number of Health Graduates","2014","2014","702","Social Care","-","All genders","40","HSE South West","Number","90"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","10","Male","-","All HSE Regions","Number","81"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","10","Male","20","HSE Dublin and Midlands","Number","12"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","10","Male","10","HSE Dublin and North East","Number","21"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","10","Male","30","HSE Dublin and South East","Number","12"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","10","Male","50","HSE Midwest","Number","6"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","10","Male","60","HSE West and North West","Number","21"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","10","Male","40","HSE South West","Number","9"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","20","Female","-","All HSE Regions","Number","729"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","20","Female","20","HSE Dublin and Midlands","Number","138"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","20","Female","10","HSE Dublin and North East","Number","159"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","20","Female","30","HSE Dublin and South East","Number","120"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","20","Female","50","HSE Midwest","Number","69"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","20","Female","60","HSE West and North West","Number","126"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","20","Female","40","HSE South West","Number","117"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","-","All genders","-","All HSE Regions","Number","813"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","-","All genders","20","HSE Dublin and Midlands","Number","150"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","-","All genders","10","HSE Dublin and North East","Number","180"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","-","All genders","30","HSE Dublin and South East","Number","132"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","-","All genders","50","HSE Midwest","Number","75"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","-","All genders","60","HSE West and North West","Number","147"
"HGO22C01","Number of Health Graduates","2015","2015","30","Nursing and Midwifery","-","All genders","40","HSE South West","Number","126"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","10","Male","-","All HSE Regions","Number","201"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","10","Male","20","HSE Dublin and Midlands","Number","45"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","10","Male","10","HSE Dublin and North East","Number","51"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","10","Male","30","HSE Dublin and South East","Number","45"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","10","Male","50","HSE Midwest","Number","9"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","10","Male","60","HSE West and North West","Number","24"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","10","Male","40","HSE South West","Number","27"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","20","Female","-","All HSE Regions","Number","222"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","20","Female","20","HSE Dublin and Midlands","Number","63"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","20","Female","10","HSE Dublin and North East","Number","51"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","20","Female","30","HSE Dublin and South East","Number","57"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","20","Female","50","HSE Midwest","Number","9"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","20","Female","60","HSE West and North West","Number","21"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","20","Female","40","HSE South West","Number","24"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","-","All genders","-","All HSE Regions","Number","423"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","-","All genders","20","HSE Dublin and Midlands","Number","108"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","-","All genders","10","HSE Dublin and North East","Number","102"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","-","All genders","30","HSE Dublin and South East","Number","99"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","-","All genders","50","HSE Midwest","Number","15"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","-","All genders","60","HSE West and North West","Number","48"
"HGO22C01","Number of Health Graduates","2015","2015","202","Medicine","-","All genders","40","HSE South West","Number","51"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","10","Male","-","All HSE Regions","Number","141"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","10","Male","20","HSE Dublin and Midlands","Number","33"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","10","Male","10","HSE Dublin and North East","Number","33"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","10","Male","30","HSE Dublin and South East","Number","39"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","10","Male","50","HSE Midwest","Number","12"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","10","Male","60","HSE West and North West","Number","12"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","10","Male","40","HSE South West","Number","15"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","20","Female","-","All HSE Regions","Number","648"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","20","Female","20","HSE Dublin and Midlands","Number","156"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","20","Female","10","HSE Dublin and North East","Number","102"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","20","Female","30","HSE Dublin and South East","Number","159"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","20","Female","50","HSE Midwest","Number","63"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","20","Female","60","HSE West and North West","Number","99"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","20","Female","40","HSE South West","Number","69"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","-","All genders","-","All HSE Regions","Number","789"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","-","All genders","20","HSE Dublin and Midlands","Number","189"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","-","All genders","10","HSE Dublin and North East","Number","132"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","-","All genders","30","HSE Dublin and South East","Number","198"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","-","All genders","50","HSE Midwest","Number","75"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","-","All genders","60","HSE West and North West","Number","111"
"HGO22C01","Number of Health Graduates","2015","2015","702","Social Care","-","All genders","40","HSE South West","Number","84"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","10","Male","-","All HSE Regions","Number","75"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","10","Male","20","HSE Dublin and Midlands","Number","9"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","10","Male","10","HSE Dublin and North East","Number","9"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","10","Male","30","HSE Dublin and South East","Number","21"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","10","Male","50","HSE Midwest","Number","6"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","10","Male","60","HSE West and North West","Number","21"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","10","Male","40","HSE South West","Number","9"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","20","Female","-","All HSE Regions","Number","777"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","20","Female","20","HSE Dublin and Midlands","Number","150"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","20","Female","10","HSE Dublin and North East","Number","177"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","20","Female","30","HSE Dublin and South East","Number","147"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","20","Female","50","HSE Midwest","Number","57"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","20","Female","60","HSE West and North West","Number","108"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","20","Female","40","HSE South West","Number","138"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","-","All genders","-","All HSE Regions","Number","852"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","-","All genders","20","HSE Dublin and Midlands","Number","159"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","-","All genders","10","HSE Dublin and North East","Number","186"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","-","All genders","30","HSE Dublin and South East","Number","168"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","-","All genders","50","HSE Midwest","Number","63"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","-","All genders","60","HSE West and North West","Number","126"
"HGO22C01","Number of Health Graduates","2016","2016","30","Nursing and Midwifery","-","All genders","40","HSE South West","Number","147"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","10","Male","-","All HSE Regions","Number","168"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","10","Male","20","HSE Dublin and Midlands","Number","39"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","10","Male","10","HSE Dublin and North East","Number","30"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","10","Male","30","HSE Dublin and South East","Number","36"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","10","Male","50","HSE Midwest","Number","12"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","10","Male","60","HSE West and North West","Number","24"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","10","Male","40","HSE South West","Number","27"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","20","Female","-","All HSE Regions","Number","222"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","20","Female","20","HSE Dublin and Midlands","Number","60"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","20","Female","10","HSE Dublin and North East","Number","48"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","20","Female","30","HSE Dublin and South East","Number","51"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","20","Female","50","HSE Midwest","Number","12"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","20","Female","60","HSE West and North West","Number","24"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","20","Female","40","HSE South West","Number","27"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","-","All genders","-","All HSE Regions","Number","387"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","-","All genders","20","HSE Dublin and Midlands","Number","99"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","-","All genders","10","HSE Dublin and North East","Number","78"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","-","All genders","30","HSE Dublin and South East","Number","87"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","-","All genders","50","HSE Midwest","Number","24"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","-","All genders","60","HSE West and North West","Number","48"
"HGO22C01","Number of Health Graduates","2016","2016","202","Medicine","-","All genders","40","HSE South West","Number","51"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","10","Male","-","All HSE Regions","Number","123"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","10","Male","20","HSE Dublin and Midlands","Number","24"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","10","Male","10","HSE Dublin and North East","Number","30"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","10","Male","30","HSE Dublin and South East","Number","27"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","10","Male","50","HSE Midwest","Number","15"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","10","Male","60","HSE West and North West","Number","15"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","10","Male","40","HSE South West","Number","12"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","20","Female","-","All HSE Regions","Number","576"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","20","Female","20","HSE Dublin and Midlands","Number","126"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","20","Female","10","HSE Dublin and North East","Number","102"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","20","Female","30","HSE Dublin and South East","Number","135"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","20","Female","50","HSE Midwest","Number","66"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","20","Female","60","HSE West and North West","Number","96"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","20","Female","40","HSE South West","Number","54"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","-","All genders","-","All HSE Regions","Number","699"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","-","All genders","20","HSE Dublin and Midlands","Number","150"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","-","All genders","10","HSE Dublin and North East","Number","129"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","-","All genders","30","HSE Dublin and South East","Number","162"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","-","All genders","50","HSE Midwest","Number","81"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","-","All genders","60","HSE West and North West","Number","111"
"HGO22C01","Number of Health Graduates","2016","2016","702","Social Care","-","All genders","40","HSE South West","Number","63"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","10","Male","-","All HSE Regions","Number","60"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","10","Male","20","HSE Dublin and Midlands","Number","12"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","10","Male","10","HSE Dublin and North East","Number","12"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","10","Male","30","HSE Dublin and South East","Number","9"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","10","Male","50","HSE Midwest","Number","9"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","10","Male","60","HSE West and North West","Number","6"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","10","Male","40","HSE South West","Number","12"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","20","Female","-","All HSE Regions","Number","774"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","20","Female","20","HSE Dublin and Midlands","Number","150"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","20","Female","10","HSE Dublin and North East","Number","159"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","20","Female","30","HSE Dublin and South East","Number","144"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","20","Female","50","HSE Midwest","Number","54"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","20","Female","60","HSE West and North West","Number","129"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","20","Female","40","HSE South West","Number","138"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","-","All genders","-","All HSE Regions","Number","834"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","-","All genders","20","HSE Dublin and Midlands","Number","162"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","-","All genders","10","HSE Dublin and North East","Number","171"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","-","All genders","30","HSE Dublin and South East","Number","153"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","-","All genders","50","HSE Midwest","Number","63"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","-","All genders","60","HSE West and North West","Number","135"
"HGO22C01","Number of Health Graduates","2017","2017","30","Nursing and Midwifery","-","All genders","40","HSE South West","Number","150"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","10","Male","-","All HSE Regions","Number","198"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","10","Male","20","HSE Dublin and Midlands","Number","51"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","10","Male","10","HSE Dublin and North East","Number","39"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","10","Male","30","HSE Dublin and South East","Number","45"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","10","Male","50","HSE Midwest","Number","6"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","10","Male","60","HSE West and North West","Number","33"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","10","Male","40","HSE South West","Number","21"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","20","Female","-","All HSE Regions","Number","231"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","20","Female","20","HSE Dublin and Midlands","Number","54"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","20","Female","10","HSE Dublin and North East","Number","51"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","20","Female","30","HSE Dublin and South East","Number","63"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","20","Female","50","HSE Midwest","Number","6"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","20","Female","60","HSE West and North West","Number","30"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","20","Female","40","HSE South West","Number","27"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","-","All genders","-","All HSE Regions","Number","429"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","-","All genders","20","HSE Dublin and Midlands","Number","105"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","-","All genders","10","HSE Dublin and North East","Number","90"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","-","All genders","30","HSE Dublin and South East","Number","105"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","-","All genders","50","HSE Midwest","Number","12"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","-","All genders","60","HSE West and North West","Number","63"
"HGO22C01","Number of Health Graduates","2017","2017","202","Medicine","-","All genders","40","HSE South West","Number","51"
"HGO22C01","Number of Health Graduates","2017","2017","702","Social Care","10","Male","-","All HSE Regions","Number","129"
"HGO22C01","Number of Health Graduates","2017","2017","702","Social Care","10","Male","20","HSE Dublin and Midlands","Number","33"
"HGO22C01","Number of Health Graduates","2017","2017","702","Social Care","10","Male","10","HSE Dublin and North East","Number","21"
"HGO22C01","Number of Health Graduates","2017","2017","702","Social Care","10","Male","30","HSE Dublin and South East","Number","24"
"HGO22C01","Number of Health Graduates","2017","2017","702","Social Care","10","Male","50","HSE Midwest","Number","6"
"HGO22C01","Number of Health Graduates","2017","2017","702","Social Care","10","Male","60","HSE West and North West","Number","27"
"HGO22C01","Number of Health Graduates","2017","2017","702","Social Care","10","Male","40","HSE South West","Number","15"
"HGO22C01","Number of Health Graduates","2017","2017","702","Social Care","20","Female","-","All HSE Regions","Number","543"
"HGO22C01","Number of Health Graduates","2017","2017","702","Social Care","20","Female","20","HSE Dublin and Midlands","Number","138"
"HGO22C01","Number of Health Graduates","2017","2017","702","Social Care","20","Female","10","HSE Dublin and North East","Number","105"
"HGO22C01","Number of Health Graduates","2017","2017","702","Social Care","20","Female","30","HSE Dublin and South East","Number","111"
"HGO22C01","Number of Health Graduates","2017","2017","702","Social Care","20","Female","50","HSE Midwest","Number","69"
"HGO22C01","Number of Health Graduates","2017","2017","702","Social Care","20","Female","60","HSE West and North West","Number","75"
"HGO22C01","Number of Health Graduates","2017","2017","702","Social Care","20","Female","40","HSE South West","Number","48"
"HGO22C01","Number of Health Graduates","2017","2017","702","Social Care","-","All genders","-","All HSE Regions","Number","672"
